@timestamp,@message,SERVER,IP,USER,DATE,METHOD,STATUS,LATENCY
2022-01-13 00:56:44.394,https://www.toctoc.com/ 71.178.35.233 - anonymus [2022-01-12 21:15:39] [GET /home/index HTTP/1.0] 200 350 ms,https://www.toctoc.com/,71.178.35.233,anonymus,2022-01-12 21:15:39,GET /home/index HTTP/1.0,200,350
2022-01-13 00:56:44.306,https://www.toctoc.com/ 181.43.228.250 - anonymus [2022-01-12 21:15:35] [GET /home/index HTTP/1.0] 200 752 ms,https://www.toctoc.com/,181.43.228.250,anonymus,2022-01-12 21:15:35,GET /home/index HTTP/1.0,200,752
2022-01-13 00:56:44.247,https://www.toctoc.com/ 66.102.8.221 - anonymus [2022-01-12 21:15:35] [GET /home/index HTTP/1.0] 200 587 ms,https://www.toctoc.com/,66.102.8.221,anonymus,2022-01-12 21:15:35,GET /home/index HTTP/1.0,200,587
2022-01-13 00:56:44.196,https://www.toctoc.com/ 201.189.98.106 - anonymus [2022-01-12 21:15:34] [GET /home/index HTTP/1.0] 200 385 ms,https://www.toctoc.com/,201.189.98.106,anonymus,2022-01-12 21:15:34,GET /home/index HTTP/1.0,200,385
2022-01-13 00:56:41.349,https://www.toctoc.com/ 201.189.98.106 - anonymus [2022-01-12 21:54:52] [GET /home/index HTTP/1.0] 200 514 ms,https://www.toctoc.com/,201.189.98.106,anonymus,2022-01-12 21:54:52,GET /home/index HTTP/1.0,200,514
2022-01-13 00:56:41.267,https://www.toctoc.com/ 191.125.129.142 - anonymus [2022-01-12 21:54:45] [GET /home/index HTTP/1.0] 200 280 ms,https://www.toctoc.com/,191.125.129.142,anonymus,2022-01-12 21:54:45,GET /home/index HTTP/1.0,200,280
2022-01-13 00:56:41.221,https://www.toctoc.com/ 181.72.149.96 - anonymus [2022-01-12 21:54:42] [GET /propiedades/compranuevo/casa/molina/1791515/ HTTP/1.0] 200 230 ms,https://www.toctoc.com/,181.72.149.96,anonymus,2022-01-12 21:54:42,GET /propiedades/compranuevo/casa/molina/1791515/ HTTP/1.0,200,230
2022-01-13 00:56:41.178,https://www.toctoc.com/ 190.114.35.182 - 1439249 [2022-01-12 21:54:37] [GET /home/index HTTP/1.0] 200 569 ms,https://www.toctoc.com/,190.114.35.182,1439249,2022-01-12 21:54:37,GET /home/index HTTP/1.0,200,569
2022-01-13 00:56:38.493,https://www.toctoc.com/ 186.107.94.9 - anonymus [2022-01-12 21:47:09] [GET /resultados/mapa HTTP/1.0] 200 74 ms,https://www.toctoc.com/,186.107.94.9,anonymus,2022-01-12 21:47:09,GET /resultados/mapa HTTP/1.0,200,74
2022-01-13 00:56:38.445,https://www.toctoc.com/ 45.232.34.188 - 1311684 [2022-01-12 21:47:05] [GET /propiedades/compranuevo/departamento/san-bernardo/1200787/ HTTP/1.0] 200 178 ms,https://www.toctoc.com/,45.232.34.188,1311684,2022-01-12 21:47:05,GET /propiedades/compranuevo/departamento/san-bernardo/1200787/ HTTP/1.0,200,178
